,L,R,U,D,ATK,SPC,JMP,DGD,STR
111,0.01833341456949711,0.1788746416568756,0.1798681616783142,0.011998726055026054,0.003819458419457078,0.14198516309261322,0.020233619958162308,0.02413778379559517,0.0013563126558437943
112,0.018477294594049454,0.17880426347255707,0.17961573600769043,0.01219826377928257,0.0038414925802499056,0.14333778619766235,0.02020280621945858,0.024220550432801247,0.001364036463201046
113,0.018244052305817604,0.17588886618614197,0.17696833610534668,0.011807849630713463,0.003700151341035962,0.14266449213027954,0.02050224505364895,0.02410992607474327,0.0012911832891404629
114,0.01763366535305977,0.17046773433685303,0.17240475118160248,0.010883554816246033,0.003413124242797494,0.14016887545585632,0.020903101190924644,0.02379242330789566,0.0011534561635926366
115,0.016928525641560555,0.16448567807674408,0.16767579317092896,0.009942416101694107,0.0030992417596280575,0.13795986771583557,0.02079283632338047,0.023450899869203568,0.001019862713292241
116,0.016420720145106316,0.1604977250099182,0.16450633108615875,0.009342469274997711,0.002889387309551239,0.13655011355876923,0.020565807819366455,0.023240188136696815,0.0009379708208143711
117,0.016139207407832146,0.15821324288845062,0.16264037787914276,0.009005416184663773,0.002777071436867118,0.13567565381526947,0.02050822041928768,0.02314780466258526,0.0008945328881964087
118,0.016018757596611977,0.15729014575481415,0.16198237240314484,0.008907433599233627,0.002731584943830967,0.13585512340068817,0.02019442804157734,0.023084133863449097,0.0008816657355055213
119,0.015940988436341286,0.15775561332702637,0.16207778453826904,0.00889552477747202,0.002735538175329566,0.13523656129837036,0.020375777035951614,0.022939110174775124,0.0008872362086549401
120,0.015955684706568718,0.15939176082611084,0.16318701207637787,0.00900564156472683,0.002780505921691656,0.13490648567676544,0.020380869507789612,0.022827772423624992,0.0009146145894192159
121,0.01622464694082737,0.16324757039546967,0.1662273406982422,0.009411451406776905,0.002934577874839306,0.13503199815750122,0.020462073385715485,0.02291145734488964,0.0009852523216977715
